123 Maple Rd,Mapleton,Ennis,Clare,Ireland,Large town,V7898KF,John Smith,140000.0,true,2018
30 Wolf Rd,Mapleton,Ennis,Clare,Ireland,Small town,V7898G5,John Smith,300000.0,false,2020
32,blackthorn,limerick,limerick,ireland,City,V93KT36,fiston,30000.0,true,2002
96,blacktown,galway city,galway,ireland,Large town,V78TH36,jonathan,40000.0,false,2014
35 newbridge,oconnel,cork city,cork,ireland,Countryside,V97RK65,josh,50000.0,true,2016
85 william,street,limerick,limerick,ireland,Village,V45RT32,Gabriel,4000000.0,true,2020
donhaven,townsend street,Tullamore,Offaly,Ireland,Large town,R75Y138,dylan,500000.0,true,2019
yardsmiths,Golden street,Tullamore,Offaly,Ireland,Large town,R75G178,dylan,30000.0,false,2020
NewGrainge,Wellend Street,Tullamore,Offaly,Ireland,Large town,R75H675,dylan,700000.0,false,2020
Duke Lane,Jersey Street,Limerick,Limerick,Ireland,City,T97H333,bob,1000000.0,true,2020
North Yard,Lynchburg,Limerick,Limerick,Ireland,City,T97H877,bob,500000.0,false,2020
Isaacs,Creek Street,Limerick,Limerick,Ireland,City,T97H559,bob,130000.0,false,2015
Rockford,Riverside Street,Ennis,Clare,Ireland,Countryside,A53J784,rob,200000.0,true,2018
Carlisle,Stout Street,Ennis,Clare,Ireland,Countryside,A53J375,rob,80000.0,false,2017
McDonald,Corpus Street,Ennis,Clare,Ireland,Countryside,A53S384,rob,60000.0,false,2016
Patchogue,Clark Street,Portlaois,Loais,Ireland,Small town,V43P119,John,200000.0,true,2020
